fid, median_age_of_earners_years_2014_15, median_aud_2011_12, sum_aud_2016_17, sum_aud_2011_12, median_aud_2014_15, median_age_of_earners_years_2013_14, median_age_of_earners_years_2012_13, median_age_of_earners_years_2017_18, median_aud_2013_14, sum_aud_2014_15, earners_persons_2011_12, median_aud_2015_16, mean_aud_2013_14, median_age_of_earners_years_2016_17, median_age_of_earners_years_2015_16, median_aud_2016_17, mean_aud_2012_13, mean_aud_2011_12, earners_persons_2015_16, median_aud_2017_18, earners_persons_2013_14, mean_aud_2016_17, sum_aud_2012_13, mean_aud_2015_16, sa2_code, median_age_of_earners_years_2011_12, earners_persons_2012_13, sa2_name, mean_aud_2014_15, median_aud_2012_13, sum_aud_2015_16, mean_aud_2017_18, earners_persons_2014_15, earners_persons_2017_18, earners_persons_2016_17, sum_aud_2013_14, sum_aud_2017_18
634,46.0,37626.0,1.54748544E8,1.3892756E8,40378.0,47.0,46.0,46.0,39774.0,1.45294746E8,3185.0,40662.0,45874.0,46.0,47.0,41505.0,44543.0,43619.0,3225.0,43392.0,3180.0,48148.0,1.40487801E8,47073.0,"204011059",46.0,3154.0,"Seymour",45849.0,39048.0,1.51810937E8,49885.0,3169.0,3355.0,3214.0,1.45878433E8,1.67365327E8
635,44.0,42407.0,1.25906578E8,1.04535276E8,46752.0,44.0,44.0,44.0,44292.0,1.15002077E8,1990.0,45311.0,52533.0,44.0,44.0,48357.0,49786.0,52530.0,2103.0,49991.0,2084.0,55077.0,1.0066666E8,51078.0,"204011060",44.0,2022.0,"Seymour Region",53614.0,43378.0,1.0741639E8,56193.0,2145.0,2355.0,2286.0,1.09479607E8,1.32335185E8
636,45.0,32231.0,3484462.0,3181433.0,36585.0,45.0,43.0,47.0,34033.0,3207301.0,93.0,38337.0,36649.0,48.0,48.0,39127.0,35060.0,34209.0,78.0,43740.0,87.0,40517.0,2734648.0,40418.0,"204011061",44.0,78.0,"Upper Yarra Valley",37733.0,31811.0,3152581.0,43071.0,85.0,96.0,86.0,3188480.0,4134779.0
637,51.0,31794.0,9.3490508E7,7.5092411E7,35592.0,51.0,51.0,52.0,32300.0,8.8940618E7,1867.0,35636.0,41724.0,52.0,51.0,35905.0,40928.0,40221.0,2003.0,37163.0,1983.0,45806.0,7.9522782E7,44684.0,"204011062",50.0,1943.0,"Yea",44052.0,32869.0,8.9502021E7,47070.0,2019.0,2097.0,2041.0,8.2738793E7,9.8704809E7
638,49.0,37224.0,2.56774472E8,2.29787782E8,38782.0,49.0,49.0,49.0,38325.0,2.43695653E8,5506.0,40327.0,44302.0,49.0,49.0,41180.0,43334.0,41734.0,5398.0,42700.0,5382.0,47384.0,2.37513561E8,46545.0,"204021063",48.0,5481.0,"Benalla",45087.0,37807.0,2.51250239E8,48684.0,5405.0,5524.0,5419.0,2.38431388E8,2.68931998E8
639,51.0,32287.0,9.4788583E7,7.9629222E7,34430.0,51.0,52.0,51.0,33541.0,9.0181041E7,2091.0,35335.0,41059.0,51.0,51.0,35509.0,38811.0,38082.0,2112.0,37975.0,2068.0,43965.0,7.9756223E7,42566.0,"204021064",51.0,2055.0,"Benalla Region",41925.0,31180.0,8.9898343E7,45396.0,2151.0,2199.0,2156.0,8.490976E7,9.982555E7
1036,43.0,39265.0,6.61227333E8,5.30161093E8,42635.0,43.0,43.0,43.0,41775.0,6.15506299E8,11528.0,43536.0,48440.0,43.0,43.0,44772.0,46934.0,45989.0,12346.0,46945.0,11780.0,52090.0,5.43349137E8,50939.0,"217041479",43.0,11577.0,"Warrnambool - North",50513.0,40642.0,6.28892305E8,59812.0,12185.0,12950.0,12694.0,5.70626214E8,7.74560293E8
1037,44.0,39909.0,4.05262235E8,3.40337906E8,41641.0,44.0,44.0,44.0,41458.0,3.76476215E8,7121.0,42330.0,50544.0,44.0,43.0,43439.0,48726.0,47794.0,7583.0,45726.0,7124.0,53226.0,3.4308199E8,50965.0,"217041480",43.0,7041.0,"Warrnambool - South",50663.0,40885.0,3.86470679E8,54849.0,7431.0,7734.0,7614.0,3.60078644E8,4.24198687E8
641,45.0,37808.0,5.23343213E8,4.30047465E8,41677.0,45.0,45.0,46.0,40503.0,4.91298517E8,9878.0,42880.0,47226.0,46.0,46.0,43972.0,45614.0,43536.0,10165.0,45587.0,10044.0,51228.0,4.51485489E8,49352.0,"204021066",44.0,9898.0,"Wangaratta",48519.0,39182.0,5.01662826E8,53216.0,10126.0,10429.0,10216.0,4.74334815E8,5.54992212E8
642,49.0,33978.0,2.79576873E8,2.33146959E8,38213.0,49.0,49.0,50.0,36690.0,2.74106874E8,5796.0,39159.0,44686.0,49.0,50.0,39755.0,41188.0,40225.0,5767.0,40688.0,5798.0,46917.0,2.3856289E8,46567.0,"204021067",49.0,5792.0,"Wangaratta Region",46680.0,33906.0,2.68552348E8,48495.0,5872.0,6041.0,5959.0,2.59088912E8,2.92957486E8
750,45.0,46303.0,1.011558092E9,7.70010748E8,51461.0,45.0,45.0,45.0,50366.0,9.14048893E8,12454.0,51938.0,68627.0,45.0,45.0,53843.0,66383.0,61828.0,13323.0,54863.0,12767.0,72884.0,8.38080749E8,70899.0,"208021174",44.0,12625.0,"Bentleigh - McKinnon",69346.0,49666.0,9.44580758E8,74073.0,13181.0,14517.0,13879.0,8.7616222E8,1.075314009E9
631,44.0,41422.0,4.11707906E8,3.10233384E8,45382.0,44.0,44.0,44.0,43514.0,3.6251503E8,6453.0,46641.0,50762.0,45.0,44.0,47729.0,50285.0,48076.0,7147.0,49320.0,6703.0,55063.0,3.25393927E8,53586.0,"204011056",43.0,6471.0,"Kilmore - Broadford",52538.0,42863.0,3.8297994E8,56871.0,6900.0,7771.0,7477.0,3.40256344E8,4.41947891E8
632,49.0,31068.0,2.48325318E8,1.82719732E8,32985.0,49.0,49.0,49.0,31949.0,2.1156272E8,4679.0,34420.0,40695.0,50.0,50.0,35815.0,39684.0,39051.0,5015.0,37862.0,4834.0,47336.0,1.88258825E8,44328.0,"204011057",49.0,4744.0,"Mansfield (Vicnp)",42809.0,31466.0,2.22304825E8,46772.0,4942.0,5383.0,5246.0,1.96720471E8,2.51773553E8
633,50.0,36779.0,1.13929899E8,8.4202933E7,40036.0,50.0,49.0,49.0,38047.0,1.00733491E8,2004.0,41560.0,44905.0,49.0,49.0,43978.0,43060.0,42017.0,2150.0,45235.0,2068.0,50523.0,8.5819027E7,48331.0,"204011058",49.0,1993.0,"Nagambie",47006.0,38647.0,1.03912708E8,53483.0,2143.0,2360.0,2255.0,9.2863918E7,1.26219662E8
640,47.0,39824.0,1.12792154E8,9.4544958E7,44088.0,48.0,47.0,48.0,42253.0,1.11163323E8,2165.0,44680.0,48054.0,47.0,47.0,45033.0,45759.0,43670.0,2205.0,45971.0,2207.0,50130.0,1.00807583E8,50197.0,"204021065",47.0,2203.0,"Rutherglen",50096.0,41049.0,1.10684622E8,51788.0,2219.0,2296.0,2250.0,1.0605624E8,1.18905272E8
651,44.0,37544.0,4.4002491E8,3.13760228E8,40662.0,44.0,44.0,44.0,39931.0,3.76757155E8,7230.0,41742.0,45975.0,44.0,44.0,42973.0,43959.0,43397.0,8398.0,44882.0,7632.0,49765.0,3.24727532E8,48051.0,"205011076",44.0,7387.0,"Drouin",47272.0,38088.0,4.03532786E8,51698.0,7970.0,9215.0,8842.0,3.50881461E8,4.76400365E8
652,49.0,35986.0,1.7703212E8,1.54533569E8,38864.0,49.0,49.0,49.0,38420.0,1.69442776E8,3399.0,39325.0,49289.0,49.0,49.0,39154.0,45050.0,45464.0,3456.0,41422.0,3340.0,50080.0,1.51458634E8,50019.0,"205011077",48.0,3362.0,"Mount Baw Baw Region",50250.0,35517.0,1.72866027E8,50686.0,3372.0,3642.0,3535.0,1.64626398E8,1.84597739E8
653,46.0,40047.0,2.42762394E8,2.00484082E8,43435.0,46.0,45.0,46.0,42560.0,2.29791435E8,4056.0,42730.0,52033.0,46.0,46.0,42508.0,49663.0,49429.0,4369.0,44410.0,4214.0,53296.0,2.04810112E8,53125.0,"205011078",45.0,4124.0,"Trafalgar (Vicnp)",53577.0,39617.0,2.32104879E8,54698.0,4289.0,4581.0,4555.0,2.19267244E8,2.50571945E8
660,52.0,30212.0,1.42025071E8,1.23697783E8,34229.0,51.0,51.0,52.0,33212.0,1.34485536E8,3223.0,33108.0,41697.0,52.0,52.0,34188.0,38720.0,38380.0,3062.0,35600.0,3193.0,45332.0,1.2537626E8,42313.0,"205021085",50.0,3238.0,"Orbost",42653.0,30103.0,1.29563253E8,42589.0,3153.0,3199.0,3133.0,1.33139445E8,1.36243049E8
664,48.0,35617.0,2.41666601E8,2.10873536E8,37707.0,47.0,47.0,47.0,36642.0,2.28143508E8,4974.0,37033.0,44788.0,47.0,48.0,38595.0,41076.0,42395.0,4994.0,41642.0,4947.0,47026.0,2.00574732E8,45760.0,"205031089",47.0,4883.0,"Korumburra",45565.0,34674.0,2.28525229E8,49538.0,5007.0,5290.0,5139.0,2.21566471E8,2.62056699E8
681,34.0,47373.0,5.13672874E8,3.03160219E8,51433.0,34.0,34.0,34.0,49252.0,4.05078275E8,5344.0,52391.0,58886.0,34.0,34.0,54618.0,58966.0,56729.0,7218.0,56690.0,6171.0,64629.0,3.29912973E8,62429.0,"206011106",34.0,5595.0,"Brunswick East",61348.0,49722.0,4.50609576E8,67534.0,6603.0,8331.0,7948.0,3.63386013E8,5.62622035E8
668,48.0,34018.0,5.32694983E8,4.36891146E8,36316.0,48.0,48.0,49.0,34763.0,4.83540288E8,10176.0,36159.0,42411.0,49.0,49.0,36496.0,40933.0,42933.0,11261.0,38060.0,10504.0,45522.0,4.2337111E8,44740.0,"205031093",48.0,10343.0,"Wonthaggi - Inverloch",44644.0,33145.0,5.03818411E8,47392.0,10831.0,12212.0,11702.0,4.45480478E8,5.787569E8
669,46.0,41778.0,3.69400083E8,3.18950612E8,45704.0,46.0,46.0,46.0,44300.0,3.57995317E8,6027.0,45902.0,56746.0,46.0,46.0,45510.0,54495.0,52920.0,6019.0,46847.0,5977.0,59803.0,3.25442654E8,59033.0,"205041094",45.0,5972.0,"Churchill",58823.0,43068.0,3.55319597E8,59177.0,6086.0,6268.0,6177.0,3.39169703E8,3.70921087E8
670,45.0,37719.0,4.16750785E8,3.79055344E8,42023.0,45.0,45.0,44.0,40722.0,4.07130192E8,7835.0,42618.0,51882.0,45.0,45.0,42590.0,50006.0,48380.0,7701.0,43433.0,7647.0,53941.0,3.82797178E8,54157.0,"205041095",44.0,7655.0,"Moe - Newborough",52751.0,39625.0,4.17064103E8,54040.0,7718.0,7888.0,7726.0,3.96745233E8,4.26266013E8
671,45.0,37830.0,2.96939075E8,2.81000861E8,41017.0,44.0,44.0,45.0,39759.0,2.996673E8,6149.0,41761.0,48380.0,45.0,45.0,41166.0,47128.0,45699.0,5849.0,42558.0,5935.0,50457.0,2.8196921E8,50309.0,"205041096",43.0,5983.0,"Morwell",50347.0,38940.0,2.94257499E8,49917.0,5952.0,5929.0,5885.0,2.87133303E8,2.95955149E8
672,42.0,45118.0,9.32315804E8,8.07286126E8,49016.0,42.0,42.0,42.0,47027.0,9.0297638E8,14265.0,50780.0,59735.0,42.0,42.0,50447.0,59021.0,56592.0,14696.0,52169.0,14342.0,62237.0,8.31198454E8,63479.0,"205041097",41.0,14083.0,"Traralgon",62001.0,46700.0,9.3288858E8,64109.0,14564.0,15266.0,14980.0,8.56723807E8,9.78689269E8
673,45.0,42322.0,1.62777105E8,1.40447036E8,48129.0,45.0,45.0,45.0,46680.0,1.61470986E8,2542.0,48790.0,60210.0,45.0,44.0,48148.0,58339.0,55251.0,2484.0,50472.0,2511.0,62655.0,1.45847733E8,62311.0,"205041098",45.0,2500.0,"Yallourn North - Glengarry",62368.0,43868.0,1.54780897E8,62653.0,2589.0,2621.0,2598.0,1.51186967E8,1.64212811E8
748,46.0,51933.0,1.066320126E9,7.99903504E8,55957.0,46.0,46.0,47.0,54636.0,9.71516346E8,9817.0,56654.0,88632.0,47.0,46.0,57701.0,84517.0,81481.0,10845.0,59892.0,10230.0,95772.0,8.53451855E8,94258.0,"208011172",46.0,10098.0,"Hampton",91060.0,53178.0,1.022227949E9,100880.0,10669.0,11338.0,11134.0,9.06701761E8,1.143781398E9
760,44.0,46352.0,3.45398059E8,2.78913116E8,49997.0,44.0,43.0,45.0,48596.0,3.23069251E8,5064.0,50225.0,59481.0,45.0,45.0,51133.0,57510.0,55078.0,5311.0,51722.0,5187.0,63551.0,2.9313096E8,61470.0,"208031183",43.0,5097.0,"Aspendale Gardens - Waterways",60693.0,48043.0,3.26468335E8,64877.0,5323.0,5541.0,5435.0,3.08529478E8,3.59484875E8
582,45.0,39362.0,1.310591E8,9.9004841E7,44718.0,44.0,44.0,46.0,44230.0,1.19207712E8,2187.0,46794.0,49268.0,45.0,45.0,48500.0,47339.0,45270.0,2316.0,49822.0,2284.0,54314.0,1.06133442E8,52010.0,"201011007",44.0,2242.0,"Smythes Creek",50299.0,43198.0,1.20455141E8,56172.0,2370.0,2504.0,2413.0,1.12529239E8,1.40654326E8
756,41.0,46687.0,4.04959453E8,3.19788931E8,50812.0,41.0,41.0,40.0,49277.0,3.66430157E8,5415.0,52031.0,62636.0,40.0,41.0,52454.0,61585.0,59056.0,5828.0,54121.0,5571.0,67878.0,3.33789446E8,66211.0,"208021181",40.0,5420.0,"Murrumbeena",64524.0,48459.0,3.85877379E8,69958.0,5679.0,6136.0,5966.0,3.48945002E8,4.29264655E8
761,50.0,51558.0,1.1835721E7,1.1355957E7,52848.0,52.0,50.0,52.0,50331.0,1.4021828E7,151.0,53537.0,79921.0,52.0,51.0,50716.0,85136.0,75205.0,146.0,57749.0,147.0,73973.0,1.3110986E7,75365.0,"208031184",49.0,154.0,"Braeside",89884.0,51620.0,1.1003261E7,88033.0,156.0,156.0,160.0,1.1748318E7,1.3733148E7
609,42.0,44670.0,2.33227777E8,1.54011563E8,47793.0,42.0,41.0,42.0,46742.0,1.9443873E8,2930.0,48821.0,55113.0,42.0,42.0,51339.0,53210.0,52564.0,3668.0,52230.0,3215.0,59879.0,1.66334178E8,57412.0,"203011034",41.0,3126.0,"Bannockburn",55921.0,45334.0,2.10587328E8,61746.0,3477.0,4064.0,3895.0,1.77188038E8,2.50935669E8
610,45.0,39676.0,2.22393754E8,1.64797828E8,43622.0,45.0,46.0,46.0,42048.0,1.96999147E8,3556.0,44438.0,49454.0,46.0,45.0,45813.0,47437.0,46344.0,3925.0,47743.0,3716.0,54335.0,1.72812501E8,52873.0,"203011035",45.0,3643.0,"Golden Plains - South",50917.0,40789.0,2.07526761E8,56477.0,3869.0,4291.0,4093.0,1.83770843E8,2.42344884E8
611,47.0,37157.0,1.97546566E8,1.62952389E8,40597.0,47.0,47.0,47.0,38493.0,1.84821071E8,3361.0,41689.0,48701.0,47.0,47.0,41574.0,49429.0,48483.0,3538.0,45264.0,3454.0,54167.0,1.66229948E8,52879.0,"203011036",46.0,3363.0,"Winchelsea",51989.0,37708.0,1.87085175E8,59172.0,3555.0,3723.0,3647.0,1.68214415E8,2.202957E8
684,43.0,46248.0,4.07534464E8,2.95930189E8,50545.0,43.0,42.0,42.0,48895.0,3.45202294E8,5280.0,52884.0,59553.0,42.0,43.0,55080.0,58224.0,56047.0,5654.0,56576.0,5435.0,66374.0,3.12606585E8,64988.0,"206011109",42.0,5369.0,"Pascoe Vale South",62311.0,47550.0,3.67442089E8,68803.0,5540.0,6270.0,6140.0,3.23672811E8,4.31394518E8
693,32.0,52146.0,6.17832233E8,3.22659637E8,54734.0,32.0,32.0,32.0,53710.0,4.86360956E8,4409.0,54667.0,72349.0,32.0,32.0,51342.0,71884.0,73182.0,7337.0,54047.0,5955.0,68978.0,3.86447923E8,74153.0,"206041118",32.0,5376.0,"Docklands",72972.0,53409.0,5.44058834E8,69260.0,6665.0,10207.0,8957.0,4.30839022E8,7.06932521E8
694,39.0,62395.0,4.70425745E8,3.76540171E8,67966.0,39.0,38.0,41.0,65850.0,4.13029884E8,3494.0,71551.0,116888.0,40.0,40.0,70034.0,104960.0,107768.0,3631.0,71759.0,3563.0,124057.0,3.69459041E8,122960.0,"206041119",38.0,3520.0,"East Melbourne",114762.0,65178.0,4.46466015E8,128069.0,3599.0,3823.0,3792.0,4.16472049E8,4.89607844E8
576,42.0,43838.0,4.27625802E8,2.63414037E8,48532.0,42.0,42.0,42.0,46535.0,3.50925666E8,5098.0,49385.0,54625.0,42.0,42.0,50845.0,52993.0,51670.0,6718.0,52448.0,5760.0,60026.0,2.84679536E8,57747.0,"201011001",42.0,5372.0,"Alfredton",56374.0,44866.0,3.87942309E8,62315.0,6225.0,7558.0,7124.0,3.14638753E8,4.70977733E8
751,38.0,45559.0,7.14430896E8,5.57651787E8,50787.0,39.0,39.0,38.0,49373.0,6.51720212E8,9882.0,51880.0,61256.0,38.0,38.0,51864.0,59517.0,56431.0,10625.0,52685.0,10042.0,65090.0,5.94513855E8,64244.0,"208021176",38.0,9989.0,"Carnegie",62798.0,48173.0,6.82596431E8,66873.0,10378.0,11438.0,10976.0,6.15136231E8,7.64891965E8
710,40.0,56809.0,7.32168789E8,5.59571674E8,62089.0,41.0,41.0,40.0,60451.0,6.79713912E8,5843.0,64169.0,106695.0,41.0,41.0,64075.0,99631.0,95768.0,6068.0,66098.0,5988.0,112884.0,5.90711772E8,113429.0,"206061135",41.0,5929.0,"Armadale",109684.0,60026.0,6.88285026E8,107488.0,6197.0,6846.0,6486.0,6.38888606E8,7.3586115E8
577,45.0,42890.0,5.37056735E8,4.36743547E8,47894.0,45.0,45.0,47.0,47061.0,4.89942604E8,7139.0,49564.0,65507.0,47.0,46.0,50413.0,63669.0,61177.0,7400.0,51736.0,7151.0,71895.0,4.55744283E8,72754.0,"201011002",45.0,7158.0,"Ballarat",67217.0,45719.0,5.38382955E8,74671.0,7289.0,7585.0,7470.0,4.68438183E8,5.66382314E8
700,40.0,61129.0,5.91714241E8,4.12036083E8,66468.0,39.0,39.0,39.0,63111.0,5.12119331E8,4006.0,65975.0,127605.0,39.0,40.0,65330.0,106727.0,102855.0,4289.0,68512.0,4121.0,125363.0,4.3202968E8,125079.0,"206041125",38.0,4048.0,"South Yarra - West",122899.0,63006.0,5.36461878E8,135941.0,4167.0,5182.0,4720.0,5.25858276E8,7.04447911E8
578,43.0,40757.0,7.22652289E8,5.9093689E8,44494.0,43.0,42.0,43.0,43360.0,6.62871477E8,12073.0,45816.0,52024.0,43.0,43.0,46561.0,50872.0,48947.0,12516.0,49211.0,12261.0,56067.0,6.13665499E8,54660.0,"201011003",42.0,12063.0,"Ballarat - North",53017.0,42518.0,6.84128661E8,59786.0,12503.0,13356.0,12889.0,6.378637E8,7.98508331E8
896,40.0,40823.0,5.0647245E8,4.21194701E8,43440.0,40.0,40.0,38.0,42629.0,4.64287794E8,9707.0,44122.0,45305.0,39.0,39.0,45153.0,44983.0,43391.0,10489.0,46576.0,9769.0,47948.0,4.32373963E8,47212.0,"212031300",39.0,9612.0,"Cranbourne",46225.0,42087.0,4.9521129E8,49556.0,10044.0,10852.0,10563.0,4.42582596E8,5.37786695E8
579,40.0,38360.0,5.67584113E8,4.65123592E8,40846.0,39.0,39.0,40.0,40106.0,5.15987258E8,11096.0,41544.0,44722.0,40.0,39.0,42531.0,43625.0,41918.0,11529.0,44293.0,11372.0,47676.0,4.87205942E8,46143.0,"201011004",39.0,11168.0,"Ballarat - South",45473.0,39436.0,5.31985105E8,49041.0,11347.0,12294.0,11905.0,5.08576273E8,6.02910502E8
580,45.0,43428.0,2.47116022E8,2.04944291E8,46972.0,45.0,45.0,45.0,46283.0,2.30071502E8,3828.0,47511.0,56765.0,45.0,45.0,49179.0,55675.0,53538.0,4001.0,51034.0,3897.0,60009.0,2.15906316E8,58292.0,"201011005",44.0,3878.0,"Buninyong",58011.0,44474.0,2.33227993E8,61565.0,3966.0,4195.0,4118.0,2.2121515E8,2.58264399E8
581,41.0,38718.0,2.07278527E8,1.35826591E8,43571.0,42.0,42.0,40.0,42199.0,1.78432642E8,3137.0,44594.0,46312.0,41.0,41.0,46366.0,45581.0,43298.0,3883.0,47759.0,3464.0,50741.0,1.48185018E8,49260.0,"201011006",42.0,3251.0,"Delacombe",48356.0,40511.0,1.91278272E8,52199.0,3690.0,4312.0,4085.0,1.60425423E8,2.25081479E8
897,35.0,45463.0,9.54342319E8,2.47415558E8,48778.0,35.0,35.0,36.0,47706.0,5.3820732E8,5066.0,49991.0,50486.0,35.0,35.0,50947.0,49909.0,48838.0,13256.0,51548.0,8211.0,54500.0,3.20413325E8,53035.0,"212031301",36.0,6420.0,"Cranbourne East",51666.0,46808.0,7.03025851E8,55599.0,10417.0,21261.0,17511.0,4.14537034E8,1.182099055E9
591,47.0,33919.0,1.42666824E8,1.25962966E8,37368.0,47.0,46.0,47.0,36078.0,1.34395553E8,3306.0,36814.0,39450.0,47.0,47.0,38245.0,39191.0,38101.0,3334.0,39827.0,3309.0,42843.0,1.32033939E8,40883.0,"201031016",46.0,3369.0,"Maryborough (Vicnp)",40456.0,35627.0,1.36305434E8,44231.0,3322.0,3446.0,3330.0,1.30540068E8,1.52420475E8
592,49.0,30200.0,9.8816284E7,8.4809807E7,33075.0,50.0,49.0,49.0,33403.0,9.3148561E7,2379.0,32582.0,38189.0,49.0,49.0,34244.0,36984.0,35649.0,2386.0,36938.0,2371.0,40632.0,8.7762263E7,38558.0,"201031017",49.0,2373.0,"Maryborough Region",38491.0,31827.0,9.1998567E7,42490.0,2420.0,2482.0,2432.0,9.0546596E7,1.05460815E8
593,42.0,39164.0,4.16243496E8,3.70531962E8,42773.0,42.0,42.0,42.0,41217.0,3.98983962E8,7716.0,43995.0,50960.0,42.0,43.0,44737.0,49764.0,48021.0,8009.0,46208.0,7343.0,55161.0,3.68947143E8,54347.0,"202011018",41.0,7414.0,"Bendigo",52505.0,40257.0,4.35266398E8,56944.0,7599.0,7726.0,7546.0,3.74197059E8,4.39946028E8
892,42.0,41803.0,3.51175321E8,3.01995174E8,44305.0,42.0,42.0,42.0,43522.0,3.33510465E8,6332.0,45610.0,51039.0,42.0,42.0,46517.0,49618.0,47693.0,6501.0,47811.0,6255.0,54144.0,3.1537239E8,53409.0,"212021453",42.0,6356.0,"Endeavour Hills - North",52217.0,43278.0,3.47213922E8,55217.0,6387.0,6716.0,6486.0,3.19249941E8,3.70837178E8
594,42.0,37380.0,2.72666341E8,2.04667092E8,40415.0,42.0,42.0,41.0,39397.0,2.41245084E8,5074.0,41564.0,42756.0,42.0,42.0,41946.0,41954.0,40336.0,5746.0,44261.0,5325.0,45857.0,2.20762526E8,44850.0,"202011019",42.0,5262.0,"California Gully - Eaglehawk",43641.0,38501.0,2.57708296E8,47779.0,5528.0,6185.0,5946.0,2.27674014E8,2.95513751E8
757,39.0,44505.0,5.61562981E8,4.30706145E8,50001.0,39.0,38.0,38.0,48451.0,5.06140123E8,7547.0,51848.0,60836.0,38.0,38.0,52289.0,58519.0,57070.0,8270.0,52837.0,7842.0,66702.0,4.49954793E8,65292.0,"208021182",38.0,7689.0,"Ormond - Glen Huntly",63522.0,47090.0,5.39965337E8,68150.0,7968.0,8869.0,8419.0,4.77073921E8,6.04421164E8
701,31.0,50541.0,9.71296864E8,5.76419664E8,54176.0,31.0,31.0,32.0,54529.0,8.3418484E8,8060.0,54683.0,74154.0,32.0,32.0,50643.0,73232.0,71516.0,12110.0,51696.0,10210.0,72915.0,6.8808521E8,75285.0,"206041126",31.0,9396.0,"Southbank",73998.0,53291.0,9.11701163E8,73634.0,11273.0,14398.0,13321.0,7.57114074E8,1.060185549E9
621,45.0,47375.0,5.25965934E8,4.14942403E8,52000.0,45.0,45.0,45.0,49481.0,4.84031076E8,5953.0,53643.0,73628.0,45.0,45.0,56281.0,69854.0,69703.0,6366.0,57818.0,6143.0,79885.0,4.21499527E8,77266.0,"203021046",45.0,6034.0,"Newtown (Vicnp)",76709.0,49446.0,4.91873724E8,83648.0,6310.0,6701.0,6584.0,4.52297859E8,5.60524597E8
595,47.0,39415.0,4.38239715E8,3.83844266E8,42741.0,47.0,46.0,47.0,41842.0,4.20355497E8,7860.0,43396.0,52387.0,46.0,47.0,44216.0,51149.0,48835.0,7611.0,46635.0,7684.0,55551.0,3.9553399E8,54515.0,"202011020",46.0,7733.0,"East Bendigo - Kennington",54023.0,40848.0,4.14912209E8,57894.0,7781.0,7944.0,7889.0,4.02541542E8,4.59909407E8
764,43.0,44172.0,1.7225294E8,1.40097885E8,48902.0,43.0,42.0,43.0,47731.0,1.57711782E8,2926.0,49780.0,52422.0,43.0,43.0,50537.0,50700.0,47880.0,3004.0,52094.0,2824.0,55673.0,1.48702451E8,55104.0,"208031187",42.0,2933.0,"Chelsea Heights",53030.0,45896.0,1.65531473E8,58104.0,2974.0,3158.0,3094.0,1.48041082E8,1.83493184E8
622,42.0,40058.0,4.33099649E8,3.3926703E8,43044.0,42.0,43.0,42.0,41814.0,3.87182481E8,7097.0,44817.0,50618.0,42.0,43.0,46438.0,48746.0,47804.0,7475.0,47651.0,7194.0,55081.0,3.38543104E8,53699.0,"203021047",42.0,6945.0,"North Geelong - Bell Park",52090.0,41310.0,4.0140234E8,56636.0,7433.0,8152.0,7863.0,3.64149459E8,4.61698227E8
602,49.0,36311.0,2.62466674E8,2.14506805E8,38153.0,49.0,49.0,50.0,38868.0,2.41174022E8,5092.0,39196.0,44849.0,50.0,49.0,38919.0,43743.0,42126.0,5340.0,42109.0,5213.0,48000.0,2.21294361E8,46478.0,"202021027",48.0,5059.0,"Castlemaine",45496.0,37403.0,2.48190475E8,50841.0,5301.0,5512.0,5468.0,2.33795335E8,2.80235172E8
603,51.0,32625.0,2.26523749E8,1.81580742E8,36108.0,50.0,50.0,51.0,34702.0,2.01158823E8,4414.0,37184.0,41706.0,51.0,51.0,39739.0,42789.0,41137.0,4515.0,41255.0,4534.0,48156.0,1.90840836E8,45274.0,"202021028",50.0,4460.0,"Castlemaine Region",43825.0,33933.0,2.04411563E8,50249.0,4590.0,4816.0,4704.0,1.89096719E8,2.41999308E8
604,50.0,33785.0,9.9749416E7,7.5335438E7,36787.0,50.0,50.0,51.0,35068.0,9.0259528E7,1916.0,37721.0,43281.0,51.0,50.0,38413.0,40284.0,39319.0,2081.0,41695.0,1959.0,46460.0,7.7748287E7,45047.0,"202021029",49.0,1930.0,"Heathcote",44158.0,33329.0,9.3742962E7,49637.0,2044.0,2214.0,2147.0,8.4787388E7,1.09895598E8
605,46.0,39720.0,3.15807842E8,2.33457686E8,41321.0,47.0,46.0,47.0,40490.0,2.82033084E8,4939.0,42747.0,51634.0,47.0,47.0,44215.0,48726.0,47268.0,5395.0,46315.0,5278.0,56114.0,2.47234469E8,53300.0,"202021030",46.0,5074.0,"Kyneton",51692.0,40077.0,2.87552413E8,58009.0,5456.0,5769.0,5628.0,2.72525034E8,3.34653633E8
606,47.0,44171.0,2.84495906E8,2.15114374E8,47853.0,47.0,47.0,48.0,46959.0,2.46662846E8,3719.0,50812.0,60928.0,47.0,47.0,51719.0,60277.0,57842.0,3961.0,53778.0,3825.0,68669.0,2.24531555E8,66263.0,"202021031",46.0,3725.0,"Woodend",63361.0,45595.0,2.62465889E8,70793.0,3893.0,4295.0,4143.0,2.33050819E8,3.04057797E8
607,48.0,35784.0,1.24808656E8,9.2663684E7,41869.0,48.0,48.0,48.0,39675.0,1.1385359E8,2198.0,41947.0,46148.0,48.0,48.0,42583.0,44589.0,42158.0,2281.0,45727.0,2251.0,50124.0,9.9433591E7,47205.0,"202031032",47.0,2230.0,"Bendigo Region - North",49373.0,38173.0,1.07673987E8,53186.0,2306.0,2535.0,2490.0,1.03879905E8,1.34825695E8
